STT;Mảng nội dung;;Nội dung câu hỏi;Phương án A;Phương án B;Phương án C;Phương án D;Đáp án đúng;Văn bản tham chiếu/ thuyết minh;Điều khoản;;;;;;;;;;;;;;;
1;I.1. Big Data trong hoạt động ngân hàng. Big Data trong hoạt động ngân hàng  ;I.1;Ngân hàng O muốn lưu log clickstream từ mobile app với hàng tỉ event/ ngày. Ngân hàng cần đầu tư hệ thống nào;Datawarehouse truyền thống;Sử dụng excel để dễ trực quan hóa và quen thuộc với người dùng văn phòng;Sử dụng ngay nền tảng corebanking để tận dụng giao dịch;Triển khai đầu tư Data Lake;D;Datalake sẽ phù hợp với dữ liệu phi cấu trúc và volume rất lớn;;;;;;;;;;;;;;;;
2;I.1. Big Data trong hoạt động ngân hàng;I.1;Ngân hàng có dữ liệu từ ATM, POS, Mobile App và Core Banking. Để phân tích hành vi khách hàng , ngân hàng phải thực hiện hoạt động gì đối với dữ liệu thu thập được.;Lưu riêng từng hệ thống;Chỉ sử dụng dữ liệu Corebanking và Mobile App;Chuẩn hóa và hợp nhất dữ liệu;Giữ nguyên format mỗi nguồn;C;Một hệ thống Bigdata platform cần chuẩn hóa dữ liệu, hợp nhất dữ liệu để đảm bảo việc xây dựng chân dung khách hàng và phân tích dữ liệu;;;;;;;;;;;;;;;;
3;I.1. Big Data trong hoạt động ngân hàng;I.1;Khách hàng mới của Ngân hàng, hiện chưa có dữ liệu lịch sử, hệ thống đề xuất sản phẩm kém, chưa hiệu quả. Nên triển khai phương án nào để tăng tính hiệu quả;Đề xuất ngẫu nhiên;Dùng dữ liệu Nhân khẩu học (tuổi, giới tính, địa điểm, học vấn, thu nhập, sở thích, ...) và Lookalike modeling (tìm những người tương tự khách hàng này đã giao dịch/mua sắm/hành động gì,...) để gợi ý.;Chờ khách dùng vài tuần rồi gợi ý;Chỉ gửi email chung chung quảng bá để tránh sai sót;B;"Đề xuất ngẫu nhiên : tỉ lệ chuyển đổi thấp
Chờ : mất cơ hội
Email chung: không cá nhân hóa.
Lookalike: tận dụng dữ liệu Bigdata, cá nhân hóa ngay";;;;;;;;;;;;;;;;
4;I.1. Big Data trong hoạt động ngân hàng;I.1;Một khách hàng phát sinh giao dịch 100tr từ một địa chỉ IP ở nước ngoài. Ngân hàng cần triển khai phương án nào khả thi để kiểm soát giao dịch;Chặn ngay giao dịch;Cho phép thực hiện và theo dõi log;Tạm hold và gọi điện cho khách hàng xác nhận;Yêu cầu OTP/ xác thực bổ sung;D;"Chặn ngay, an toàn nhưng ảnh hưởng trải nghiệm khách hàng
Cho phép --> rủi ro gian lận, có thể gây thiệt hại cho khách hàng
Tạm hold và gọi điện cho khách hàng -> tốn thời gian, có thể không liên lạc được do khách hàng đang ở nước ngoài
Yêu cầu OTP bổ sung: cân bằng an toàn và UX của khách hàng";;;;;;;;;;;;;;;;
5;I.1. Big Data trong hoạt động ngân hàng;I.1;Ngân hàng A triển khai mô hình chấm điểm tín dụng (credit scroring) chạy tốt nhưng vài tháng gần đây độ chính xác (accuracy) giảm, bạn hãy tư vấn cho ngân hàng A phương án nào cần thực hiện đầu tiên;Tăng tập dữ liệu huấn luyện (training dataset);Kiểm tra chất lượng dữ liệu (data quality);Thay mô hình mới hoàn toàn.;Thêm nhiều thuộc tính (feature) mới;B;"Tăng data set không giải quyết vấn đề nếu dữ liệu drift
  Thay model hoàn toàn sẽ rất tốn thời gian, thêm nhiều feature không giải quyết được accuracy. Dữ liệu đầu vào có thể thay đổi do nguồn đầu vào thay đổi, do định dạng dữ liệu thay đổi hoặc hành vi người dùng khác với thời gian mô hình đã training trước đó";;;;;;;;;;;;;;;;
6;I.2. Quản trị dữ liệu (Data Governance)  ;I.2;Theo Nghị quyết 57-NQ/TW, dữ liệu được xác định giữ vai trò như thế nào trong phát triển khoa học, công nghệ và đổi mới sáng tạo?;Là nguồn thông tin hỗ trợ ra quyết định;Là tài sản phục vụ quản lý nhà nước;Là tư liệu sản xuất chính, thúc đẩy phát triển nhanh cơ sở dữ liệu lớn, công nghiệp dữ liệu, kinh tế dữ liệu.;Là công cụ hỗ trợ phân tích và dự báo; C;Nghị quyết 57-NQ/TW (2024). Mục I.3;"Phần Quan điểm: mục I.3
→ ""Dữ liệu là tư liệu sản xuất chính.Thể chế, nhân lực, hạ tầng, dữ liệu và công nghệ chiến lược là……. đưa dữ liệu thành tư liệu sản xuất chính, thúc đẩy phát triển nhanh cơ sở dữ liệu lớn, công nghiệp dữ liệu, kinh tế dữ liệu.”";;;;;;;;;;;;;;;
7;I.2. Quản trị dữ liệu (Data Governance)  ;I.2;Theo Quyết định 411/QĐ-TTg, đâu KHÔNG phải là yếu tố nền móng của kinh tế và xã hội số?;Hạ tầng số;Dữ liệu số;Nền tảng số;Hoạt động thủ công truyền thống;D;Quyết định 411/QĐ-TTg;"Phần định hướng chiến lược
Xác định nền móng gồm: hạ tầng số, dữ liệu số, nền tảng số";;;;;;;;;;;;;;;
8;I.2. Quản trị dữ liệu (Data Governance)  ;;Theo Quyết định 2439/QĐ-TTg, những nội dung nào nhằm thiết lập ba trụ cột cốt lõi trong phát triển và quản trị dữ liệu để tạo nền tảng vững chắc cho Quốc gia số?;Hạ tầng mạng, Máy chủ và Phần mềm ứng dụng;Con người, Quy trình và Công nghệ;Khung kiến trúc dữ liệu quốc gia, Khung quản trị, quản lý dữ liệu quốc gia và Từ điển dữ liệu dùng chung quốc gia;Dữ liệu mở, Dữ liệu chủ và Dữ liệu giao dịch;C;"Quyết định 2439/QĐ-TTg
Ba thành phần này khi triển khai đồng bộ sẽ hình thành nền tảng dữ liệu quốc gia thống nhất, dùng chung, an toàn và hiệu quả.";Chương I, Mục I;;;;;;;;;;;;;;;
9;I.3.Chất lượng dữ liệu, chuẩn hóa dữ liệu ;I.3;Hồ sơ mở tài khoản thanh toán bao gồm các tài liệu, thông tin, dữ liệu nào?;Thỏa thuận mở và sử dụng tài khoản thanh toán;Các tài liệu, thông tin, dữ liệu để xác minh thông tin nhận biết khách hàng;Thỏa thuận việc quản lý và sử dụng tài khoản thanh toán chung giữa các chủ thể đứng tên mở tài khoản thanh toán (nếu có) đối với trường hợp mở tài khoản thanh toán chung.;Cả 3 đáp án;D;Thông tư 17/2024/TT-NHNN (sửa đổi bởi Thông tư 25/2025/TT-NHNN);Điều 12.1;;;;;;;;;;;;;;;
10;I.3.Chất lượng dữ liệu, chuẩn hóa dữ liệu ;I.3;Việc chuẩn hóa dữ liệu khách hàng khi mở tài khoản thanh toán phải căn cứ vào giấy tờ nào trong các giấy tờ sau đây?;Thẻ sinh viên hoặc thẻ nhân viên;Giấy tờ tùy thân (Căn cước/CCCD/Hộ chiếu) còn hiệu lực;Sổ hộ khẩu bản photo không công chứng;Giấy xác nhận tạm trú của công an xã;B;Thông tư 17/2024/TT-NHNN (sửa đổi bởi Thông tư 25/2025/TT-NHNN);Điều 12;;;;;;;;;;;;;;;
